run_tag,gen,slot,baseline,reward,bankrupt
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,4,0,199.75,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,12,0,199.5,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,6,0,196.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,7,0,195.75,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,15,0,231.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,3,0,215.0,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,3,0,192.1,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,13,0,176.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,12,0,185.4,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,14,0,191.625,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,16,1,189.775,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,13,0,191.925,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,4,0,200.275,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,8,0,191.3,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,0,0,214.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,10,0,193.75,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,9,0,197.65,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,6,0,194.39999999999998,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,7,0,202.75,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,9,0,196.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,14,0,192.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,11,0,191.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,4,0,197.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,11,0,194.5,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,8,0,195.2,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,2,0,235.2,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,1,0,181.25,0
prime-coevo-qwen3-1p7b-smoke16-baseline-2026-06-20,0,5,0,196.25,0
